customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,age_group,purchase_frequency_days
1,55,Male,Blouse,Clothing,4505,Karnataka,L,Gray,Winter,3.1,Yes,Express,Yes,14,PhonePe,Fortnightly,Middle-aged,14
2,19,Male,Sweater,Clothing,5440,Andhra Pradesh,L,Maroon,Winter,3.1,Yes,Express,Yes,2,Cash,Fortnightly,Young-adults,14
3,50,Male,Jeans,Clothing,6205,Telangana,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,23,Credit Card,Weekly,Middle-aged,7
4,21,Male,Sandals,Footwear,7650,Karnataka,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,49,Google Pay,Weekly,Young-adults,7
5,45,Male,Blouse,Clothing,4165,Tamil Nadu,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,31,Google Pay,Annually,Middle-aged,365
6,46,Male,Sneakers,Footwear,1700,Kerala,M,White,Summer,2.9,Yes,Standard,Yes,14,PhonePe,Weekly,Middle-aged,7
7,63,Male,Shirt,Clothing,7225,Maharastra,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,49,Cash,Quarterly,Seniors,90
8,27,Male,Shorts,Clothing,2890,Punjab,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,19,Credit Card,Weekly,Young-adults,7
9,26,Male,Coat,Outerwear,8245,Kerala,L,Silver,Summer,2.6,Yes,Express,Yes,8,PhonePe,Annually,Young-adults,365
10,57,Male,Handbag,Accessories,2635,Haryana,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,4,Cash,Quarterly,Middle-aged,90
11,53,Male,Shoes,Footwear,2890,Rajasthan,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,26,Net Banking,Bi-Weekly,Middle-aged,14
12,30,Male,Shorts,Clothing,5780,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,10,Net Banking,Fortnightly,Young-adults,14
13,61,Male,Coat,Outerwear,6120,Gujarat,M,Gold,Winter,4.5,Yes,Express,Yes,37,PhonePe,Fortnightly,Seniors,14
14,65,Male,Dress,Clothing,4335,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,31,Google Pay,Weekly,Seniors,7
15,64,Male,Coat,Outerwear,4505,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,34,Debit Card,Weekly,Seniors,7
16,64,Male,Skirt,Clothing,6885,Karnataka,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,8,Google Pay,Monthly,Seniors,30
17,25,Male,Sunglasses,Accessories,3060,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,44,Debit Card,Bi-Weekly,Young-adults,14
18,53,Male,Dress,Clothing,3230,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,36,PhonePe,Quarterly,Middle-aged,90
19,52,Male,Sweater,Clothing,4080,Maharastra,S,Black,Summer,4.6,Yes,Free Shipping,Yes,17,Cash,Weekly,Middle-aged,7
20,66,Male,Pants,Clothing,7650,Karnataka,M,Green,Summer,3.3,Yes,Standard,Yes,46,Debit Card,Bi-Weekly,Seniors,14
21,21,Male,Pants,Clothing,4335,Punjab,M,Black,Winter,2.8,Yes,Express,Yes,50,Cash,Every 3 Months,Young-adults,90
22,31,Male,Pants,Clothing,5270,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,22,Debit Card,Quarterly,Young-adults,90
23,56,Male,Pants,Clothing,3145,Andhra Pradesh,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,32,Debit Card,Annually,Middle-aged,365
24,31,Male,Pants,Clothing,7480,Odisha,XL,White,Winter,4.4,Yes,Express,Yes,40,Credit Card,Weekly,Young-adults,7
25,18,Male,Jacket,Outerwear,1870,Tamil Nadu,M,Green,Fall,2.9,Yes,Store Pickup,Yes,16,Debit Card,Weekly,Young-adults,7
26,18,Male,Hoodie,Clothing,2125,Telangana,M,Silver,Summer,3.6,Yes,Express,Yes,14,Google Pay,Annually,Young-adults,365
27,38,Male,Jewelry,Accessories,1700,West Bengal,M,Red,Spring,3.6,Yes,Next Day Air,Yes,13,Credit Card,Annually,Adults,365
28,56,Male,Shorts,Clothing,4760,Karnataka,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,7,Net Banking,Every 3 Months,Middle-aged,90
29,54,Male,Handbag,Accessories,7990,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,41,Google Pay,Every 3 Months,Middle-aged,90
30,31,Male,Dress,Clothing,4080,Kerala,S,Black,Fall,4.1,Yes,Store Pickup,Yes,14,Credit Card,Weekly,Young-adults,7
31,57,Male,Jewelry,Accessories,2635,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,16,Credit Card,Monthly,Middle-aged,30
32,33,Male,Dress,Clothing,6715,Kerala,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,45,PhonePe,Monthly,Adults,30
33,36,Male,Jacket,Outerwear,5695,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,37,PhonePe,Annually,Adults,365
34,54,Male,Pants,Clothing,3230,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,45,Cash,Quarterly,Middle-aged,90
35,36,Male,T-shirt,Clothing,7735,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,38,Google Pay,Quarterly,Adults,90
36,54,Male,Blouse,Clothing,2805,Telangana,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,48,Credit Card,Bi-Weekly,Middle-aged,14
37,35,Male,T-shirt,Clothing,5865,Bihar,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,44,Google Pay,Fortnightly,Adults,14
38,35,Male,Jeans,Clothing,3825,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,10,Google Pay,Weekly,Adults,7
39,29,Male,Dress,Clothing,3145,Tamil Nadu,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,44,PhonePe,Every 3 Months,Young-adults,90
40,70,Male,Pants,Clothing,5100,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,18,Credit Card,Monthly,Seniors,30
41,69,Male,Handbag,Accessories,6460,Punjab,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,31,Debit Card,Quarterly,Seniors,90
42,67,Male,Scarf,Accessories,3315,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,40,PhonePe,Annually,Seniors,365
43,20,Male,Coat,Outerwear,8500,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,15,Google Pay,Annually,Young-adults,365
44,25,Male,Scarf,Accessories,5865,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,19,Google Pay,Fortnightly,Young-adults,14
45,39,Male,Hat,Accessories,4505,Karnataka,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,45,Google Pay,Weekly,Adults,7
46,50,Male,Socks,Clothing,1785,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,25,Google Pay,Annually,Middle-aged,365
47,57,Male,Shirt,Clothing,3655,Andhra Pradesh,L,White,Summer,2.9,Yes,Store Pickup,Yes,45,Cash,Quarterly,Middle-aged,90
48,55,Male,Jewelry,Accessories,4590,Maharastra,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,36,Cash,Weekly,Middle-aged,7
49,42,Male,Shirt,Clothing,4675,West Bengal,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,38,Cash,Monthly,Adults,30
