Customer ID,Age,Gender,Item Purchased,Category,purchase amount(INR),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,55,Male,Blouse,Clothing,4505,Karnataka,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,PhonePe,Fortnightly
2,19,Male,Sweater,Clothing,5440,Andhra Pradesh,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly
3,50,Male,Jeans,Clothing,6205,Telangana,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly
4,21,Male,Sandals,Footwear,7650,Karnataka,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,Google Pay,Weekly
5,45,Male,Blouse,Clothing,4165,Tamil Nadu,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,Google Pay,Annually
6,46,Male,Sneakers,Footwear,1700,Kerala,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,PhonePe,Weekly
7,63,Male,Shirt,Clothing,7225,Maharastra,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly
8,27,Male,Shorts,Clothing,2890,Punjab,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly
9,26,Male,Coat,Outerwear,8245,Kerala,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,PhonePe,Annually
10,57,Male,Handbag,Accessories,2635,Haryana,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly
11,53,Male,Shoes,Footwear,2890,Rajasthan,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Net Banking,Bi-Weekly
12,30,Male,Shorts,Clothing,5780,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Net Banking,Fortnightly
13,61,Male,Coat,Outerwear,6120,Gujarat,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,PhonePe,Fortnightly
14,65,Male,Dress,Clothing,4335,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,Google Pay,Weekly
15,64,Male,Coat,Outerwear,4505,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly
16,64,Male,Skirt,Clothing,6885,Karnataka,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,Google Pay,Monthly
17,25,Male,Sunglasses,Accessories,3060,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly
18,53,Male,Dress,Clothing,3230,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,PhonePe,Quarterly
19,52,Male,Sweater,Clothing,4080,Maharastra,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly
20,66,Male,Pants,Clothing,7650,Karnataka,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly
21,21,Male,Pants,Clothing,4335,Punjab,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months
22,31,Male,Pants,Clothing,5270,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly
23,56,Male,Pants,Clothing,3145,Andhra Pradesh,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually
24,31,Male,Pants,Clothing,7480,Odisha,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly
25,18,Male,Jacket,Outerwear,1870,Tamil Nadu,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly
